subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
7,2.623,0,0,15.5333333333333,15.8787878787879,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,46
7,2.913,0,0,17.3333333333333,17.5641025641026,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,50
8,3.076,4.28571428571429,7,10.2222222222222,9.18181818181818,NaN,NaN,0.046,0.262261627772822,1,4,1,1,1,1,1,3,15
8,4.627,4.28571428571429,5,13.1111111111111,10.8653846153846,0.353,0.123373541547795,0.353,0.123373541547795,1,4,1,0,1,1,1,3,22
8,2.498,4.28571428571429,7,8.5,8.52631578947368,NaN,NaN,0.264,0.243074843302208,1,4,1,0,1,0,0,3,26
8,3.656,1.42857142857143,1,9,9.47727272727273,NaN,NaN,0.287,0.19953343522999,1,4,1,0,1,1,1,3,41
9,15.588,2.85714285714286,12,18.1818181818182,21.152466367713,0.392,0.580388069093231,0.392,0.580388069093231,1,4,1,1,1,1,4,1,9
9,14.773,0,11,22.3333333333333,21.8492063492063,4.524,0.936914668226474,4.524,0.936914668226474,1,4,1,1,1,0,0,1,12
9,7.099,0,3,24,22.2242990654206,2.694,0.335947697351404,2.694,0.335947697351404,1,4,1,0,1,1,1,1,25
9,7.982,1.42857142857143,4,23.0769230769231,20.6916666666667,0.717,0.25420147944609,0.717,0.25420147944609,1,4,1,0,1,1,1,1,37
9,5.29,0,2,20.4,19.5487804878049,3.02,0.190623711072861,3.02,0.190623711072861,1,4,1,0,1,0,0,1,45
10,13.599,0,23,17.8666666666667,20.73,2.416,0.228327153118243,2.416,0.228327153118243,1,4,1,1,1,1,1,3,6
10,7.754,2.85714285714286,11,19.5,20.3245614035088,NaN,NaN,0.287,0.195969203364055,1,4,1,0,1,0,0,3,15
10,14.8,0,31,20.2666666666667,20.4230769230769,1.493,0.127477404149299,1.493,0.127477404149299,1,4,1,1,1,1,1,3,21
10,18.018,2.85714285714286,29,18.7272727272727,19.8597122302158,NaN,NaN,0.288,0.232066681473143,1,4,1,1,1,1,1,3,33
10,11.744,4.28571428571429,23,18.125,19.8034682080925,NaN,NaN,0.294,0.166982259063744,1,4,1,1,1,0,0,3,46
11,9.641,2.85714285714286,14,22.5,23.5106382978723,NaN,NaN,0.164,0.253346837846932,1,4,1,1,1,0,0,2,16
11,11.564,0,24,26.2,24.7168674698795,1.061,0.285317249842975,1.061,0.285317249842975,1,4,1,1,1,0,0,2,20
11,11.944,7.14285714285714,29,23.6666666666667,21.2857142857143,NaN,NaN,0.085,0.187545921311731,1,4,1,0,1,0,0,2,36
11,3.392,0,3,21.1333333333333,20.8260869565217,2.474,0.254032782341314,2.474,0.254032782341314,1,4,1,1,1,0,0,2,38
11,8.097,2.85714285714286,13,22.6666666666667,22.283185840708,NaN,NaN,0.136,0.472059521496634,1,4,1,1,1,0,0,2,39
12,3.784,0,0,16.6,14.875,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,1
12,4.715,0,3,15.1666666666667,14.9387755102041,2.115,0.0636726509127724,2.115,0.0636726509127724,1,4,1,0,1,1,2,3,20
