subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
19,13.107,0,9,10.2666666666667,11.5630630630631,1.7,0.957966002762116,1.7,0.957966002762116,1,2,1,0,1,0,0,1,38
20,6.453,1.42857142857143,9,16.7692307692308,18.1276595744681,0.394,0.0839691938364783,0.394,0.0839691938364783,1,2,1,1,1,0,0,1,4
20,5.926,0,8,18.0666666666667,19.8863636363636,1.196,0.129364355806202,1.196,0.129364355806202,1,2,1,1,1,0,0,1,15
20,6.524,1.42857142857143,7,14.6666666666667,16.8666666666667,0.603,0.239312863603943,0.603,0.239312863603943,1,2,1,1,1,1,1,1,36
20,7.31,1.42857142857143,9,13.9166666666667,14.2477064220183,0.417,0.17714166697372,0.417,0.17714166697372,1,2,1,1,1,1,1,1,39
20,4.838,2.85714285714286,6,18.2727272727273,17.7121212121212,0.373,0.404742436417351,0.373,0.404742436417351,1,2,1,1,1,0,0,1,48
21,5.289,1.42857142857143,7,13.3076923076923,14.8133333333333,0.372,0.117771075984254,0.372,0.117771075984254,1,2,1,1,1,0,0,1,11
21,4.573,2.85714285714286,4,16.0909090909091,13.609375,0.381,0.428631696633992,0.381,0.428631696633992,1,2,1,1,1,0,0,1,15
21,3.959,1.42857142857143,5,16.2307692307692,14.9423076923077,0.672,0.300522753514192,0.672,0.300522753514192,1,2,1,1,1,0,0,1,16
21,8.291,1.42857142857143,14,15.2307692307692,16.8119658119658,0.573,0.117760528342534,0.573,0.117760528342534,1,2,1,0,1,0,0,1,42
21,7.072,2.85714285714286,13,15.4,14.3440860215054,NaN,NaN,0.094,0.188172618267389,1,2,1,1,1,0,0,1,43
1,2.021,0,0,13.2,14.0952380952381,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,1,17
1,2.006,0,0,14.5333333333333,14.2857142857143,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,1,23
1,3.17,0,2,15.7333333333333,17.1162790697674,2.472,0.0537805949649199,2.472,0.0537805949649199,1,4,1,1,1,0,0,1,39
1,3.441,0,0,18.6,17.734693877551,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,1,42
2,3.081,0,0,34.5333333333333,35.2619047619048,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,6
2,2.944,0,0,18.3636363636364,19.0909090909091,NaN,NaN,NaN,NaN,1,4,0,0,0,1,1,3,28
2,3.312,0,1,16.6,16.9574468085106,2.983,0.126258203334334,2.983,0.126258203334334,1,4,1,1,0,0,0,3,30
2,2.345,0,0,12.9333333333333,12.5555555555556,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,41
3,2.708,0,0,16.6666666666667,16.4,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,1,2
3,3.622,2.85714285714286,5,16.4545454545455,18.6744186046512,0.412,0.371940164674634,0.412,0.371940164674634,1,4,1,0,1,0,0,1,16
3,2.135,0,0,18.0666666666667,17.3478260869565,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,1,18
3,3.359,0,1,15.1333333333333,15.7333333333333,2.582,0.314549865517924,2.582,0.314549865517924,1,4,1,0,1,1,0,1,33
3,2.802,0,1,16.8,17.2571428571429,2.072,0.402851124511653,2.072,0.402851124511653,1,4,1,0,1,0,0,1,40
4,11.299,1.42857142857143,10,18.3076923076923,18.3333333333333,0.65,0.0622489894719473,0.65,0.0622489894719473,1,4,1,0,1,1,1,3,8
4,7.772,0,6,16.6,16.7438016528926,1.017,0.240560025595758,1.017,0.240560025595758,1,4,1,0,1,0,0,3,17
4,9.463,1.42857142857143,10,16.6923076923077,17.7651006711409,NaN,NaN,0.082,0.380008613430709,1,4,1,0,1,0,0,3,20
4,10.199,1.42857142857143,12,16.9166666666667,16.975,0.879,0.187812549737757,0.879,0.187812549737757,1,4,1,1,1,0,0,3,33
4,5.855,0,4,16.4666666666667,16.4239130434783,NaN,NaN,0.137,0.0670763066140631,1,4,1,0,1,0,0,3,34
5,3.54,0,0,12.2,14.0588235294118,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,2,7
5,5.917,0,1,12.8666666666667,12.4827586206897,1.893,0.235979249895885,1.893,0.235979249895885,1,4,1,0,1,1,1,2,14
5,4.04,0,0,13.1333333333333,11.8032786885246,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,2,15
5,5.119,0,1,9.86666666666667,11.0625,2.378,0.145846218340118,2.378,0.145846218340118,1,4,1,0,1,0,0,2,28
5,4.973,0,0,11.7333333333333,12.125,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,2,29
6,3.8,0,2,16.5384615384615,16.1851851851852,NaN,NaN,0.27,0.0565602136214951,1,4,1,1,1,0,0,3,6
6,3.669,0,1,16.8666666666667,16.5769230769231,NaN,NaN,0.151,0.0819833766515534,1,4,1,1,1,0,0,3,22
6,2.14,0,0,18.8,17.695652173913,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,32
6,2.98,0,2,15.2666666666667,15.4324324324324,1.739,0.448120624660859,1.739,0.448120624660859,1,4,1,1,1,0,0,3,44
7,2.775,0,0,18.0666666666667,17.1388888888889,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,24
7,2.195,0,0,18.2666666666667,17.1666666666667,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,31
7,2.441,0,0,17.2,17.8275862068966,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,32
7,2.521,0,1,15.6,16.6,2.411,0.589089822766097,2.411,0.589089822766097,1,4,1,1,0,0,0,3,42
8,4.262,2.85714285714286,8,10.9090909090909,12.3958333333333,0.412,0.272154591441832,0.412,0.272154591441832,1,4,1,0,1,0,0,3,21
8,2.188,0,2,16.3333333333333,13.1,NaN,NaN,0.227,0.472725970761574,1,4,1,1,0,1,1,3,36
9,6.749,0,3,20.9333333333333,19.1743119266055,4.923,0.108378877288219,4.923,0.108378877288219,1,4,1,0,1,0,0,1,7
9,6.365,0,7,21,21.0204081632653,1.416,0.233615489999504,1.416,0.233615489999504,1,4,1,1,1,0,0,1,19
9,6.423,4.28571428571429,27,27.75,28.2,0.427,0.402290479558698,0.427,0.402290479558698,1,4,1,1,1,0,0,1,33
9,6.585,0,2,22.4666666666667,22.9634146341463,5.245,0.187758109853796,5.245,0.187758109853796,1,4,1,0,1,1,1,1,36
10,13.719,1.42857142857143,22,22.75,21.2307692307692,NaN,NaN,0.251,0.0650330375175489,1,4,1,1,1,1,2,3,9
10,15.895,0,28,18.8666666666667,20.1090909090909,1.082,0.0602141338781937,1.082,0.0602141338781937,1,4,1,1,1,1,2,3,17
10,5.89,2.85714285714286,11,17.4545454545455,18.4155844155844,0.465,0.198795098190223,0.465,0.198795098190223,1,4,1,1,1,0,0,3,40
10,6.75,0,14,19.5333333333333,19.4772727272727,1.481,0.169180338312603,1.481,0.169180338312603,1,4,1,1,1,0,0,3,41
10,12.983,2.85714285714286,23,21.3,20.5255102040816,NaN,NaN,0.169,0.119524602450775,1,4,1,0,1,0,0,3,47
11,5.743,1.42857142857143,3,23.2307692307692,20.9333333333333,0.778,0.362643115011343,0.778,0.362643115011343,1,4,1,0,1,0,0,2,4
11,3.53,0,2,23.7333333333333,25.6153846153846,1.84,0.324371099008891,1.84,0.324371099008891,1,4,1,1,1,1,1,2,34
11,7.342,2.85714285714286,20,21.8181818181818,24.6144578313253,0.631,0.39983107083005,0.631,0.39983107083005,1,4,1,1,1,0,0,2,35
11,4.439,2.85714285714286,5,22.8181818181818,21.948275862069,0.326,0.384006113143402,0.326,0.384006113143402,1,4,1,0,1,0,0,2,42
11,5.698,0,8,22.5384615384615,21,NaN,NaN,0.038,0.381080098958159,1,4,1,0,1,0,0,2,50
12,4.319,0,6,13.5714285714286,12.7118644067797,NaN,NaN,0.214,0.123297353799521,1,4,1,1,1,0,0,3,2
12,4.388,0,2,12.8666666666667,13.5151515151515,1.125,0.0645667619416118,1.125,0.0645667619416118,1,4,1,0,1,0,0,3,7
12,4.554,0,0,13.25,13.5,NaN,NaN,NaN,NaN,1,4,0,0,0,1,1,3,8
12,3.234,2.85714285714286,6,13.4545454545455,11.8292682926829,NaN,NaN,0.24,0.156308765944619,1,4,1,1,1,0,0,3,16
12,3.149,0,0,14.1333333333333,12.7441860465116,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,3,27
13,6.457,0,6,23.1333333333333,23.8271604938272,1.875,0.15193307469209,1.875,0.15193307469209,1,4,1,0,1,1,2,1,8
13,13.991,0,5,21.4,22.3023255813953,2.428,0.410236721249891,2.428,0.410236721249891,1,4,1,0,1,1,4,1,10
13,6.74,0,1,19.6666666666667,21.8541666666667,3.384,0.159725504259426,3.384,0.159725504259426,1,4,1,0,1,1,2,1,27
13,2.858,0,0,21.1333333333333,20.8918918918919,NaN,NaN,NaN,NaN,1,4,0,0,0,0,0,1,41
14,6.56,0,10,18.1428571428571,18.1267605633803,1.512,0.124125606217439,1.512,0.124125606217439,1,4,1,1,1,1,3,3,2
14,4.289,0,8,20.1,21.4705882352941,1.232,0.698537176063488,1.232,0.698537176063488,1,4,1,1,1,1,2,3,9
14,2.962,0,6,19.125,18.125,1.161,0.176778106407509,1.161,0.176778106407509,1,4,1,1,1,1,1,3,21
14,5.74,0,5,20.3076923076923,22.1320754716981,1.332,0.210103093691515,1.332,0.210103093691515,1,4,1,0,1,1,4,3,32
15,14.203,0,2,14.1333333333333,16.6758893280632,5.117,0.238187555266602,5.117,0.238187555266602,1,4,1,0,1,1,1,3,2
15,5.041,0,1,15.4666666666667,15.1481481481481,4.62,0.364413100094238,4.62,0.364413100094238,1,4,1,1,0,0,0,3,9
15,5.79,0,2,13.0666666666667,13.6170212765957,4.475,0.341645679814182,4.475,0.341645679814182,1,4,1,1,1,0,0,3,12
